3 words (v1),type(v1),3 words with emotion (v2),type(v2),Color/lighting (v2),emotion,centroid
Tranquil natural landscapes  ,Object,Majestic mountain vistas  ,Object,Serene golden illumination,awe,13
Rainbow over landscape  ,Object,Majestic rainbow arches  ,Object,"Vibrant, contrasting hues",awe,14
St. Paul's Cathedral  ,Object,Majestic architectural dome  ,Object,Soft twilight hues,awe,15
Majestic canyon views  ,Object,Majestic rock formations,Object,Warm golden hues,awe,16
Ancient temple ruins  ,Object,Majestic ancient temples  ,Object,Warm serene glow,awe,17
Cascading waterfall rainbows  ,Object,Majestic waterfall cascade  ,Object,Radiant rainbow hues,awe,18
Animals in grass  ,Object,Majestic wildlife presence  ,Object,Vibrant natural illumination,awe,19
Babies looking curious  ,Facial Expression,Expressive infant faces  ,Facial Expression,"Soft, warm glow",awe,20
Majestic European Castles,Object,Majestic fairy-tale castle  ,Object,"Ethereal, soft illumination",awe,21
Military jets flying  ,Action,Majestic fighter jets,Object,Vivid sky contrast,awe,22
Perched dragonfly closeup,Object,Majestic dragonfly perching  ,Object,Vibrant hues illuminate,awe,23
Fountain rainbow display  ,Object,Majestic rainbow fountains  ,Object,"Vibrant, sunlit hues",awe,24
Tigers in nature  ,Object,Majestic tiger presence  ,Object,Warm sunlight glow,awe,25
Iconic fairy-tale castle  ,Object,Majestic fairy-tale castle  ,Object,Enchanting twilight glow,awe,26
Japanese castle architecture  ,Object,Majestic castle architecture,Object,Soft daylight serenity,awe,27
Snow-covered volcanic mountains  ,Object,Majestic mountain peaks  ,Object,Warm glowing hues,awe,28
Green insects posing  ,Object,Majestic insect poses  ,Object,Vibrant green hues,awe,29
Historic city skyline,Object,Majestic cityscape views,Object,"Vibrant, sunlit hues",awe,30
Ancient Chinese Wall  ,Object,Majestic ancient architecture,Object,Warm golden hues,awe,31
Ocean cliff view,Object,Majestic coastal cliffs,Object,Radiant turquoise waters,awe,32
Desert sand dunes  ,Object,Majestic desert landscapes  ,Object,Warm golden hues,awe,33
Paragliding over coast,Action,Majestic coastal gliding,Action,Vibrant azure serenity,awe,34
Sunset behind bridge  ,Object,Majestic bridge views,Object,Warm sunset hues,awe,35
Colorful hot-air balloons,Object,Majestic balloon ascent  ,Object,Vibrant sunset hues,awe,36
Iconic mountain landscapes  ,Object,Majestic mountain vista  ,Object,Dramatic sunset hues,awe,37
Seagulls on beach  ,Object,Serene shorebirds,Object,Golden sunset glow,awe,38
Coastal castle ruins  ,Object,Majestic coastal ruins,Object,Moody dramatic skies,awe,39
Colorful parrots perched  ,Object,Vibrant feathered display,Object,Vivid natural illumination,awe,40
Seagulls on beach  ,Object,Majestic bird presence  ,Object,"Soft, serene glow",awe,41
Sunset over roads  ,Object,Majestic sunset views  ,Object,Warm radiant hues,awe,42
Hawks perched outdoors  ,Object,Majestic raptor gaze,Object,Warm sunlight hues,awe,43
Glacial landscapes displayed  ,Object,Majestic glacier views,Object,"Cool, serene tones",awe,44
Eagles in nature  ,Object,Majestic eagle flight,Object,Vivid sky contrast,awe,45
Colorful autumn trees,Object,Majestic autumn foliage  ,Object,Warm golden glow,awe,46
Cloudy sky horizon  ,Object,Infinite cloud expanse  ,Object,Warm sunset glow,awe,47
Wedding ceremony indoors  ,Action,Majestic church interiors,Object,Warm golden hues,awe,48
Ancient mountain ruins  ,Object,Majestic mountain ruins,Object,Dramatic sunlit contrasts,awe,49
Flowing river landscapes  ,Object,Majestic river cascades  ,Object,"Soft, ethereal glow",awe,50
Mountain lake views,Object,Majestic mountain vistas  ,Object,Serene blue hues,awe,51
Ornate Hindu Temples  ,Object,Majestic architectural marvels,Object,"Warm, radiant hues",awe,52
Giraffes in wilderness  ,Object,Majestic giraffe presence  ,Object,"Soft, golden hues",awe,53
Tropical beach scenes,Object,Serene tropical paradise,Object,Vibrant azure tranquility,awe,54
Squirrels climbing trees,Action,Majestic tree climbing  ,Action,Warm golden hues,awe,55
Fireworks over castle  ,Object,Majestic fireworks display  ,Object,Vibrant nocturnal illumination,awe,56
Coastal cliff views,Object,Majestic coastal cliffs  ,Object,Bright azure brilliance,awe,57
Ornate church interiors  ,Object,Ornate religious interiors  ,Object,Warm golden illumination,awe,58
Aerial canyon views  ,Object,Majestic canyon vistas  ,Object,Warm golden hues,awe,59
Erupting geothermal geysers,Object,Majestic geothermal activity  ,Object,"Vibrant, ethereal glow",awe,60
Monks performing rituals  ,Action,Reverent monastic gathering,Object,Warm golden hues,awe,61
Mountainous forest views,Object,Majestic mountain views,Object,"Vibrant, awe-inspiring hues",awe,62
Traditional wedding procession  ,Action,Ceremonial procession,Object,"Soft, muted tones",awe,63
Coastal town cliffs  ,Object,Majestic coastal view,Object,Warm golden hues,awe,64
"Sunset, palm trees  ",Object,Majestic sunset views  ,Object,Warm golden hues,awe,65
Traditional wedding attire  ,Action,Majestic wedding attire,Object,"Soft, radiant hues",awe,66
Elephants in nature  ,Object,Majestic elephant gatherings,Object,"Warm, golden hues",awe,67
Bears in nature  ,Object,Majestic bear presence  ,Object,Warm sunlight glow,awe,68
Tropical island waters,Object,Majestic limestone cliffs  ,Object,Serene blue waters,awe,69
Oceanic cliff views,Object,Majestic coastal cliffs,Object,Moody oceanic hues,awe,70
Majestic mountain peaks  ,Object,Majestic mountain peaks  ,Object,Warm golden hues,awe,71
Goats in nature  ,Object,Majestic mountain goats,Object,Vibrant natural illumination,awe,72
Birds flying silhouetted  ,Object,Majestic flight display,Object,Warm sunset hues,awe,73
"Sunset, Trees, Sky  ",Object,Majestic sunrise silhouettes  ,Object,Warm glowing hues,awe,74
Wedding couple standing,Action,Majestic wedding ceremony,Object,"Soft, ethereal glow",awe,75
Majestic mountain landscapes  ,Object,Majestic mountain views  ,Object,Vibrant natural illumination,awe,76
Rolling green hills,Object,Expansive landscape views,Object,"Soft, natural illumination",awe,77
Birds standing still  ,Object,Majestic bird presence  ,Object,Golden hour glow,awe,78
Trees in landscapes  ,Object,Majestic landscape views  ,Object,Warm golden hues,awe,79
Lone tree fields  ,Object,Expansive rural landscapes,Object,Warm golden hues,awe,80
Birds on branches  ,Object,Majestic bird perching  ,Object,Vibrant natural illumination,awe,81
Exploding night fireworks  ,Object,Spectacular firework display,Object,Vibrant night illumination,awe,82
Mother bonding child  ,Action,Loving maternal embrace  ,Action,Warm soothing glow,contentment,0
Cats relaxing comfortably  ,Object,Relaxed feline posture  ,Object,"Soft, warm glow",contentment,1
Dogs in grass  ,Object,Joyful canine expressions,Facial Expression,Warm sunlit hues,contentment,2
Babies smiling happily  ,Facial Expression,Joyful infant smiles  ,Facial Expression,Warm glowing hues,contentment,3
Colorful blooming flowers,Object,Serene floral display  ,Object,"Soft, warm glow",contentment,4
Books with flowers  ,Object,Relaxed reading moments,Object,"Soft, warm hues",contentment,5
Flowers on table,Object,Serene floral arrangement  ,Object,Soft natural light,contentment,6
Insects on flowers,Object,Serene pollination,Object,"Warm, soft illumination",contentment,7
Giraffes among trees  ,Object,Serene grazing giraffes,Object,Soft natural hues,contentment,8
Colorful garden flowers  ,Object,Serene floral display,Object,Warm golden hues,contentment,9
Swans on water  ,Object,Serene water birds,Object,Soft reflective hues,contentment,10
Pandas resting peacefully,Object,Relaxed panda resting  ,Object,Soft natural hues,contentment,11
Artistic coffee designs,Object,Soothing coffee art,Object,Warm creamy hues,contentment,12
Couples in wedding  ,Action,Serene wedding moments  ,Action,Soft natural glow,contentment,13
Autumn leaves glow,Object,Serene autumn scenery  ,Object,Warm golden hues,contentment,14
Decorated birthday cakes  ,Object,Indulgent dessert display,Object,Warm inviting glow,contentment,15
Woman enjoying flowers,Action,Serene floral embrace  ,Action,Warm golden hues,contentment,16
Rabbits in nature  ,Object,Serene rabbit scenes,Object,Soft natural glow,contentment,17
Couples sharing affection  ,Action,Intimate couple moments,Action,Warm golden hues,contentment,18
Using digital devices,Action,Serene digital interaction,Action,Soft warm glow,contentment,19
Seniors sharing moments  ,Action,Gentle companionship,Action,Warm soothing tones,contentment,20
Beach sunset scenes,Object,Serene beach scenes,Object,Warm sunset hues,contentment,21
Dogs resting together  ,Object,Relaxed canine companionship  ,Object,"Soft, warm hues",contentment,22
Storks on nest  ,Action,Serene nesting storks,Object,Calm blue backdrop,contentment,23
Monkeys grooming together  ,Action,Gentle primate interaction,Object,Soft natural hues,contentment,24
Tigers resting outdoors  ,Action,Relaxed feline posture  ,Object,Soft natural hues,contentment,25
Pregnant women smiling  ,Action,Serene maternal moments  ,Object,"Soft, warm glow",contentment,26
Tranquil water reflections  ,Object,Serene water scenes,Object,Soft natural light,contentment,27
Pigeons walking outdoors  ,Action,Serene bird presence,Object,Soft natural glow,contentment,28
Couple embracing pregnancy  ,Action,Tender couple embrace,Action,Warm soothing hues,contentment,29
Cows in field  ,Object,Serene pastoral scene,Object,Warm golden hues,contentment,30
Antelopes in grass  ,Object,Serene animal bonding  ,Object,Warm golden hues,contentment,31
Owls in nature  ,Object,Serene owl gaze,Object,Warm golden hues,contentment,32
Birds on branches  ,Object,Serene bird perching  ,Object,Soft natural hues,contentment,33
Deer in nature  ,Object,Serene wildlife presence  ,Object,"Warm, soft glow",contentment,34
Women facing water  ,Action,Serene waterfront solitude,Object,Warm sunset glow,contentment,35
Perching blue birds,Object,Serene bird perching  ,Object,Soft natural hues,contentment,36
Couples sharing affection  ,Action,Gentle affectionate embrace,Action,Warm soothing tones,contentment,37
Woman holding flowers,Action,Serene floral embrace,Action,Soft golden glow,contentment,38
Reading comfortably indoors  ,Action,Cozy reading moments,Action,Warm inviting glow,contentment,39
Couples sharing moments,Action,Intimate shared moments,Action,Warm soothing tones,contentment,40
Woman relaxing outdoors  ,Action,Relaxed outdoor sitting,Action,Warm golden hues,contentment,41
Berry-topped dessert cakes,Object,Delightful berry desserts  ,Object,Warm inviting glow,contentment,42
Elephants walking together  ,Action,Serene elephant gatherings  ,Object,"Warm, soft hues",contentment,43
Colorful wildflowers blooming,Object,Serene floral abundance,Object,"Warm, soothing hues",contentment,44
Children smiling together,Action,Joyful youthful smiles,Facial Expression,Warm inviting glow,contentment,45
Women interacting plants  ,Action,Serene plant interaction,Action,Soft natural glow,contentment,46
Bridesmaids holding flowers,Action,Joyful bridal procession,Action,"Soft, warm hues",contentment,47
Colorful flower arrangements  ,Object,Serene floral arrangements  ,Object,Warm soothing hues,contentment,48
Babies sleeping peacefully,Facial Expression,Peaceful sleeping babies,Action,Soft warm hues,contentment,49
Squirrels on wood,Object,Serene squirrel moments,Object,Warm golden hues,contentment,50
Pheasants in fields,Object,Majestic strutting,Action,Warm sunlight hues,contentment,51
German Shepherd lying  ,Action,Relaxed canine poses  ,Object,"Warm, soothing hues",contentment,52
Horses grazing peacefully  ,Object,Serene grazing horses  ,Object,"Soft, warm hues",contentment,53
Girl reading outdoors  ,Action,Serene reading moments,Action,Warm sunlight ambiance,contentment,54
Beach relaxation setup  ,Object,Relaxing beachside lounging  ,Action,Serene turquoise brightness,contentment,55
Family outdoor gathering  ,Object,Gentle familial embrace  ,Action,Soft natural light,contentment,56
Roosters standing proudly,Object,Serene chicken stances,Object,"Warm, soothing hues",contentment,57
Seals resting peacefully  ,Object,Serene seal relaxation  ,Object,Soft natural glow,contentment,58
Celebrating birthday cakes,Action,Celebratory birthday cakes,Object,Warm glowing candles,contentment,59
Dogs on beach  ,Action,Relaxed beach stroll,Action,Warm serene glow,contentment,60
Alpacas facing forward  ,Action,Serene alpaca gaze,Object,Warm golden hues,contentment,61
Colorful frosted cupcakes  ,Object,Delightful cupcake display  ,Object,"Soft, warm glow",contentment,62
Penguins in nature  ,Object,Joyful penguin poses,Object,Warm serene glow,contentment,63
Babies sleeping peacefully  ,Action,Peaceful sleeping children,Action,Soft warm hues,contentment,64
Babies wearing Santa  ,Action,Festive infant smiles  ,Facial Expression,Warm holiday glow,contentment,65
Couples celebrating wedding  ,Action,Joyful wedding couples,Object,Soft natural light,contentment,66
Robins on branches  ,Action,Serene perched robin,Object,Warm glowing ambiance,contentment,67
Baby eating cake  ,Action,Joyful cake exploration,Action,Warm golden hues,contentment,68
Benches facing water  ,Object,Serene seaside bench  ,Object,Soft tranquil hues,contentment,69
Poolside lounge chairs  ,Object,Relaxing poolside lounging  ,Action,Warm serene glow,contentment,70
Father holding baby  ,Action,Gentle fatherly embrace  ,Action,Warm soothing tones,contentment,71
Surfing ocean waves  ,Action,Dynamic surfing action,Action,Vibrant ocean hues,excitement,0
People expressing joy,Facial Expression,Joyful group interactions,Action,"Bright, vibrant tones",excitement,1
Beach soccer playing  ,Action,Energetic beach soccer,Action,Vibrant sunny ambiance,excitement,2
Playing softball game  ,Action,Dynamic softball play,Action,"Vibrant, energizing hues",excitement,3
Jet skiing action  ,Action,Dynamic water-sport,Action,"Bright, energetic contrast",excitement,4
Celebrating with flags  ,Action,Jubilant crowd celebration,Action,"Vibrant, sunlit hues",excitement,5
Group dance performance  ,Action,Energetic group dance,Action,"Bright, vibrant sunlight",excitement,6
Man holding glowsticks  ,Action,Joyful rainbow attire,Object,"Vibrant, cheerful hues",excitement,7
Carnival costume parade  ,Object,Vibrant carnival costumes,Object,"Bright, festive hues",excitement,8
Singer performing live  ,Action,Energetic stage performance,Action,Vibrant concert illumination,excitement,9
Kicking football field  ,Action,Dynamic athletic action,Action,"Bright, vivid contrast",excitement,10
Toddlers smiling joyfully,Facial Expression,Joyful youthful expressions  ,Facial Expression,"Vibrant, warm hues",excitement,11
Kids playing soccer  ,Action,Energetic soccer play,Action,"Bright, vibrant hues",excitement,12
Women playing guitars,Action,Energetic live performance  ,Action,Vibrant stage lights,excitement,13
Dogs in motion  ,Action,Energetic water play,Action,"Bright, vivid hues",excitement,14
Playing outdoor soccer  ,Action,Intense soccer action,Action,Vibrant sunny ambiance,excitement,15
Singer performing live  ,Action,Energetic stage performance  ,Action,Vibrant spotlight ambiance,excitement,16
Rafting turbulent water  ,Action,Thrilling river adventure,Action,"Bright, dynamic contrast",excitement,17
Horse jumping competition  ,Action,Dynamic equestrian action  ,Action,"Vibrant, contrasting hues",excitement,18
Singer performing live,Action,Energetic stage performance,Action,Warm golden ambiance,excitement,19
Kicking football game  ,Action,Dynamic athletic action,Action,Vibrant sunny contrast,excitement,20
Football game action  ,Action,Dynamic football action,Action,Vibrant evening hues,excitement,21
Hiking desert rocks  ,Action,Energetic outdoor activity,Action,Vibrant sunny ambiance,excitement,22
Kayaking on water  ,Action,Energetic kayaking adventure  ,Action,"Bright, sunny ambiance",excitement,23
Skateboarding mid-air tricks  ,Action,Aerial skate stunts,Action,Overcast vibrant contrast,excitement,24
Children playing superheroes  ,Action,Jubilant superhero poses  ,Action,"Vibrant, sunlit hues",excitement,25
Joyful jumping silhouettes,Facial Expression,Joyful aerial leaps,Action,Vibrant sunset silhouettes,excitement,26
Winter sports action  ,Action,Dynamic aerial maneuvers,Action,"Vivid, sunlit contrasts",excitement,27
Performing live concert  ,Action,Energetic stage performance,Action,Vibrant concert illumination,excitement,28
Families enjoying outdoors  ,Action,Joyful outdoor play,Action,Warm golden hues,excitement,29
Stilt walking performer  ,Action,Joyful street performance,Action,Vibrant daylight hues,excitement,30
Football tackling action,Action,Intense athletic action,Action,Vibrant dynamic contrast,excitement,31
Skydiving with instructor,Action,Thrilling skydiving action,Action,Vivid blue exhilaration,excitement,32
Football players running  ,Action,Energetic football play,Action,"Bright, dynamic contrast",excitement,33
Playing soccer night,Action,Intense soccer match,Action,Vibrant nighttime glow,excitement,34
Sledding on snow  ,Action,Joyful winter activities,Action,"Bright, contrasting whites",excitement,35
Dolphins swimming ocean  ,Object,Energetic marine leaps,Object,Vibrant aquatic hues,excitement,36
Pitcher throwing baseball  ,Action,Dynamic pitching action  ,Action,"Vibrant, sunlit contrast",excitement,37
Singing outdoor concert  ,Object,Energetic stage performance,Action,"Bright, vibrant daylight",excitement,38
Intense fighting action,Action,Intense combat action,Action,Dramatic spotlight contrast,excitement,39
Guitarists performing live  ,Action,Energetic guitar performance,Action,Vibrant stage illumination,excitement,40
Men singing passionately  ,Action,Energetic vocal performance,Action,Vibrant stage illumination,excitement,41
Rugby tackling action  ,Action,Intense rugby action,Action,Vibrant dynamic contrast,excitement,42
Marathon running event  ,Action,Energetic marathon runners  ,Object,Warm golden hues,excitement,43
Concert crowd celebrating  ,Object,Energetic crowd celebration  ,Object,Vibrant warm glow,excitement,44
Kayaking in rapids,Action,Intense kayaking action,Action,"Vivid, contrasting brightness",excitement,45
Mountain biking competition  ,Action,Intense cycling action,Action,"Vibrant, dynamic contrast",excitement,46
Mountain biking action  ,Action,Dynamic biking action,Action,Vibrant sky contrast,excitement,47
Roller Coaster Ride  ,Action,Thrilling rollercoaster ride,Action,Vibrant sky backdrop,excitement,48
Aerial silk performance  ,Action,Aerial silk performance,Action,"Vivid contrasts, dramatic shadows",excitement,49
Joyful shopping spree  ,Object,Joyful shopping spree,Object,"Bright, vibrant hues",excitement,50
Guitarist performing live  ,Action,Energetic musical performance,Action,Vibrant stage illumination,excitement,51
Martial arts training  ,Action,Dynamic martial arts,Action,Vibrant contrasting hues,excitement,52
Playing soccer match  ,Action,Dynamic soccer action,Action,"Bright, vivid contrast",excitement,53
Kids playing water  ,Action,Joyful water play  ,Action,"Bright, vibrant hues",excitement,54
Singing on stage,Action,Energetic stage performance,Action,Vibrant colorful backdrop,excitement,55
People enjoying party  ,Object,Joyful group poses,Object,Vibrant nightclub ambiance,excitement,56
Woman giving speech  ,Object,Energetic public speaking,Action,Vibrant red excitement,excitement,57
Guitarist performing live  ,Action,Energetic guitar performance,Action,Vibrant stage illumination,excitement,58
Rugby players running  ,Action,Dynamic rugby action,Action,"Vibrant, contrasting hues",excitement,59
Motocross racing action,Action,Intense motocross action,Action,"Vibrant, sunlit excitement",excitement,60
Pitching baseball game  ,Action,Dynamic pitching action,Action,"Bright, vibrant contrast",excitement,61
Climbing snowy mountains  ,Action,Thrilling mountain climbing,Action,"Bright, icy contrast",excitement,62
Running in rain  ,Action,Energetic group run,Object,"Dim, misty excitement",excitement,63
Dance performance stage  ,Action,Energetic dance performance,Action,Warm vibrant hues,excitement,64
Rodeo action scenes,Action,Dynamic rodeo action,Action,"Vibrant, sunlit contrasts",excitement,65
Outdoor adventure activities,Action,Thrilling aerial adventure  ,Action,"Vibrant, dynamic hues",excitement,66
Dogs showing tongues  ,Facial Expression,Joyful canine expressions,Facial Expression,"Vibrant, contrasting hues",excitement,67
Pride parade celebration  ,Object,Joyful parade march,Object,Vibrant sunny hues,excitement,68
Soccer players competing  ,Action,Intense athletic competition  ,Object,Vibrant dynamic contrasts,excitement,69
